"gbif_id";"iucn_id";"cites_id";"nombre_cientifico";"nombre_cientifico2";"reino";"filo";"clase";"orden";"familia";"genero";"TIPO";"NOMBRE.EN.ESPAÑOL";"NACIONAL";"STATUS";"iucn_status";"cites_status"
4107401;NA;NA;"Chloris halophila";"Chloris halophila Parodi";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Chloris";"Flora";NA;NA;NA;NA;NA
5289624;NA;NA;"Chloris virgata";"Chloris virgata Sw.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Chloris";"Flora";NA;NA;NA;NA;NA
2704521;NA;NA;"Cortaderia jubata";"Cortaderia jubata (Lemoine) Stapf";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Cortaderia";"Flora";"Cortadera";NA;"Nativa";NA;NA
2705275;NA;NA;"Cymbopogon citratus";"Cymbopogon citratus (DC.) Stapf";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Cymbopogon";"Flora";"Hierba luisa";NA;NA;NA;NA
6109637;NA;NA;"Cynodon dactylon";"Cynodon dactylon (L.) Pers.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Cynodon";"Flora";"Grama dulce";NA;"Introducida";NA;NA
9602141;NA;NA;"Deschampsia eminens";"Deschampsia eminens (J.Presl) Saarela";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Deschampsia";"Flora";NA;NA;NA;NA;NA
8010581;NA;NA;"Diplachne fusca";"Diplachne fusca (L.) P.Beauv. ex Roem. & Schult.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Diplachne";"Flora";NA;NA;NA;NA;NA
4121711;NA;NA;"Distichlis humilis";"Distichlis humilis Phil.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Distichlis";"Flora";NA;NA;NA;NA;NA
2704509;NA;NA;"Distichlis spicata";"Distichlis spicata (L.) Greene";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Distichlis";"Flora";"Grama salada";NA;"Nativa";NA;NA
2702794;NA;NA;"Echinochloa crus-";"Echinochloa P.Beauv.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Echinochloa";"Flora";NA;NA;"Introducida";NA;NA
4107295;NA;NA;"Eragrostis attenuata";"Eragrostis attenuata Hitchc.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Eragrostis";"Flora";NA;NA;NA;NA;NA
4139037;NA;NA;"Eragrostis virescens";"Eragrostis virescens J.Presl";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Eragrostis";"Flora";NA;NA;"Introducida";NA;NA
4143814;NA;NA;"Eragrostis nigricans";"Eragrostis nigricans (Kunth) Steud.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Eragrostis";"Flora";NA;NA;"Nativa";NA;NA
4105635;NA;NA;"Eragrostis peruviana";"Eragrostis peruviana (Jacq.) Trin.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Eragrostis";"Flora";NA;NA;NA;NA;NA
4138824;NA;NA;"Eragrostis weberbaueri";"Eragrostis weberbaueri Pilg.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Eragrostis";"Flora";NA;NA;"Endémica";NA;NA
4129181;NA;NA;"Festuca ambigua";"Festuca ambigua Le Gall";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Festuca";"Flora";NA;NA;NA;NA;NA
4128184;NA;NA;"Festuca australis";"Festuca australis Nees ex Steud.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Festuca";"Flora";NA;NA;NA;NA;NA
