"","ESPECIES","INSTITUCIÓN","AÑO","AUTOR","TÍTULO"
"87","Myrtis fanny","Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)",2006,"Jhonson Vizcarra Romero.","AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"88","Myrtis fanny","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Mejoramiento del Servicio de Monitoreo e Información Ambiental"".",2013,"Horacio Zeballos Patrón.","ESTUDIO DE LA BIODIVERSIDAD DEL VALLE DE CINTO."
"89","Oreotrochilus estella","Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.",2007,"Letty Salinas Sánchez","AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"90","Oreotrochilus estella","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","AVIFAUNA DEL BOSQUE DE QUEÑUA (Polylepis sp) DE CANDARAVE, REGIÓN TACNA, 2008-2009."
"91","Patagona gigas","Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.",2007,"Letty Salinas Sánchez","AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"92","Patagona gigas","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","AVIFAUNA DEL BOSQUE DE QUEÑUA (Polylepis sp) DE CANDARAVE, REGIÓN TACNA, 2008-2009."
"93","Rhodopis vesper","Revista The Biologist (Lima). Vol. 8, Nº1.",2010,"Jhonson Vizcarra Romero.","NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"94","Rhodopis vesper","Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)",2006,"Jhonson Vizcarra Romero.","AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"95","Rhodopis vesper","UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN",2014,"Romina Venturia Candia.","Diversidad y Habitat de la comunidad Ornitológica de la Quebrad de Tacahuay de la Región Tacna"
"96","Rhodopis vesper","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACIÓN DE LA COMPOSICIÓN Y DENSIDAD DE AVES EN MONTES RIBEREÑOS DE LA REGIÓN TACNA 2009."
"97","Rhodopis vesper","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Mejoramiento del Servicio de Monitoreo e Información Ambiental"".",2014,"Jhonson Vizcarra Romero.","EVALUACIÓN DE AVES SILVESTRES EN LOS VALLES DE LOCUMBA Y SAMA."
"98","Rhodopis vesper","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Mejoramiento del Servicio de Monitoreo e Información Ambiental"".",2013,"Horacio Zeballos Patrón.","ESTUDIO DE LA BIODIVERSIDAD DEL VALLE DE CINTO."
"99","Thaumastura cora","Revista The Biologist (Lima). Vol. 8, Nº1.",2010,"Jhonson Vizcarra Romero.","NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"100","Thaumastura cora","Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)",2006,"Jhonson Vizcarra Romero.","AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"101","Thaumastura cora","UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN",2014,"Romina Venturia Candia.","Diversidad y Habitat de la comunidad Ornitológica de la Quebrad de Tacahuay de la Región Tacna"
"102","Thaumastura cora","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACIÓN DE LA COMPOSICIÓN Y DENSIDAD DE AVES EN MONTES RIBEREÑOS DE LA REGIÓN TACNA 2009."
"103","Chordeiles acutipennis","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACIÓN DE LA COMPOSICIÓN Y DENSIDAD DE AVES EN MONTES RIBEREÑOS DE LA REGIÓN TACNA 2009."
"104","Chordeiles acutipennis","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Mejoramiento del Servicio de Monitoreo e Información Ambiental"".",2013,"Horacio Zeballos Patrón.","ESTUDIO DE LA BIODIVERSIDAD DEL VALLE DE CINTO."
"105","Systellura longirostris","Revista The Biologist (Lima). Vol. 8, Nº1.",2010,"Jhonson Vizcarra Romero.","NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"106","Systellura longirostris","Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)",2006,"Jhonson Vizcarra Romero.","AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"107","Systellura longirostris","Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.",2007,"Letty Salinas Sánchez","AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"108","Systellura longirostris","UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN",2014,"Romina Venturia Candia.","Diversidad y Habitat de la comunidad Ornitológica de la Quebrad de Tacahuay de la Región Tacna"
"109","Systellura longirostris","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","AVIFAUNA DEL TILLANDSIAL EN LA REGIÓN TACNA. "
"110","Systellura longirostris","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Mejoramiento del Servicio de Monitoreo e Información Ambiental"".",2013,"Horacio Zeballos Patrón.","ESTUDIO DE LA BIODIVERSIDAD DEL VALLE DE CINTO."
"111","Systellura longirostris","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2010,"Romina Venturia Candia.","AVIFAUNA E IMPACTO ANTRÓPICO EN RELICTOS DE QUEÑUAS EN LA REGIÓN TACNA."
"112","Hesperoburhinus superciliaris","Revista The Biologist (Lima). Vol. 8, Nº1.",2010,"Jhonson Vizcarra Romero.","NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"113","Hesperoburhinus superciliaris","Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)",2006,"Jhonson Vizcarra Romero.","AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"114","Hesperoburhinus superciliaris","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Mejoramiento del Servicio de Monitoreo e Información Ambiental"".",2014,"Richard Lazo Ramos.","ESTUDIO DE LA ESTRUCTURA COMUNITARIA, FUNCIÓN ECOFISIOLÓGICA, RED TRÓFICA Y PROPUESTA DE CONSERVACIÓN DEL TILLANDSIAL DE TACNA."
"115","Hesperoburhinus superciliaris","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACIÓN DE LA COMPOSICIÓN Y DENSIDAD DE AVES EN MONTES RIBEREÑOS DE LA REGIÓN TACNA 2009."
"116","Anarhynchus alticola","Revista The Biologist (Lima). Vol. 8, Nº1.",2010,"Jhonson Vizcarra Romero.","NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"117","Anarhynchus alticola","Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)",2006,"Jhonson Vizcarra Romero.","AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"118","Anarhynchus alticola","Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.",2007,"Letty Salinas Sánchez","AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"119","Anarhynchus alticola","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"120","Anarhynchus alticola","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"121","Anarhynchus collaris","Revista The Biologist (Lima). Vol. 8, Nº1.",2010,"Jhonson Vizcarra Romero.","NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"122","Anarhynchus collaris","Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)",2006,"Jhonson Vizcarra Romero.","AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"123","Zonibyx modestus","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"124","Anarhynchus nivosus","Revista The Biologist (Lima). Vol. 8, Nº1.",2010,"Jhonson Vizcarra Romero.","NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"125","Anarhynchus nivosus","Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)",2006,"Jhonson Vizcarra Romero.","AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"126","Anarhynchus nivosus","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"127","Anarhynchus nivosus","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"128","Charadrius semipalmatus","Revista The Biologist (Lima). Vol. 8, Nº1.",2010,"Jhonson Vizcarra Romero.","NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"129","Charadrius semipalmatus","Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)",2006,"Jhonson Vizcarra Romero.","AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"130","Charadrius semipalmatus","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"131","Charadrius vociferus","Revista The Biologist (Lima). Vol. 8, Nº1.",2010,"Jhonson Vizcarra Romero.","NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"132","Charadrius vociferus","Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)",2006,"Jhonson Vizcarra Romero.","AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"133","Charadrius vociferus","Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.",2007,"Letty Salinas Sánchez","AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"134","Charadrius vociferus","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"135","Charadrius vociferus","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"136","Oreopholus ruficollis","Revista The Biologist (Lima). Vol. 8, Nº1.",2010,"Jhonson Vizcarra Romero.","NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"137","Oreopholus ruficollis","Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)",2006,"Jhonson Vizcarra Romero.","AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"138","Phegornis mitchellii","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2010,"Romina Venturia Candia.","IMPACTO ANTRÓPICO Y AVIFAUNA DE LOS BOFEDALES ALTOANDINOS EN LA REGIÓN TACNA."
"139","Pluvialis dominica","Revista The Biologist (Lima). Vol. 8, Nº1.",2010,"Jhonson Vizcarra Romero.","NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"140","Pluvialis dominica","Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)",2006,"Jhonson Vizcarra Romero.","AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"141","Pluvialis dominica","Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.",2007,"Letty Salinas Sánchez","AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"142","Pluvialis dominica","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"143","Pluvialis dominica","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"144","Pluvialis squatarola","Revista The Biologist (Lima). Vol. 8, Nº1.",2010,"Jhonson Vizcarra Romero.","NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"145","Pluvialis squatarola","Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)",2006,"Jhonson Vizcarra Romero.","AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"146","Pluvialis squatarola","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"147","Vanellus resplendens","Revista The Biologist (Lima). Vol. 8, Nº1.",2010,"Jhonson Vizcarra Romero.","NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"148","Vanellus resplendens","Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)",2006,"Jhonson Vizcarra Romero.","AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"149","Vanellus resplendens","Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.",2007,"Letty Salinas Sánchez","AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"150","Vanellus resplendens","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"151","Vanellus resplendens","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"152","Vanellus resplendens","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2010,"Romina Venturia Candia.","IMPACTO ANTRÓPICO Y AVIFAUNA DE LOS BOFEDALES ALTOANDINOS EN LA REGIÓN TACNA."
"153","Haematopus ater","Revista The Biologist (Lima). Vol. 8, Nº1.",2010,"Jhonson Vizcarra Romero.","NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"154","Haematopus ater","Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)",2006,"Jhonson Vizcarra Romero.","AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"155","Haematopus palliatus","Revista The Biologist (Lima). Vol. 8, Nº1.",2010,"Jhonson Vizcarra Romero.","NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"156","Haematopus palliatus","Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)",2006,"Jhonson Vizcarra Romero.","AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"157","Chlidonias niger","Revista The Biologist (Lima). Vol. 8, Nº1.",2010,"Jhonson Vizcarra Romero.","NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"158","Chlidonias niger","Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)",2006,"Jhonson Vizcarra Romero.","AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
